"tax_id","name","rank"
"35342","unclassified ssDNA viruses",
"36343","Ceduovirus bIL67","species"
"37960","unclassified Partitiviridae",
"38018","Bacteriophage sp.","species"
"39445","Lactococcus phage P001","species"
"39641","Human adenovirus 48",
"39724","Circoviridae","family"
"39725","Circovirus","genus"
"39729","Potyviridae","family"
"39738","Tombusviridae","family"
"39838","Lactococcus phage 936",
"40119","Parvovirinae","subfamily"
"40120","Densovirinae","subfamily"
"40272","Roseolovirus","genus"
"46654","Lactococcus phage phi31","species"
"46933","Human adenovirus 32",
"46936","Human adenovirus 36",
"46938","Human adenovirus 43",
"47298","Lactococcus phage phi41","species"
"51368","unclassified dsDNA viruses",
"63118","Skunavirus bIL170","species"
"64186","Moineauvirus Sfi21","species"
"69577","Banana streak virus","species"
"72638","Moineauvirus Sfi19","species"
"73422","Streptococcus phage TP-J34","species"
"73422","Streptococcus phage TP-J34",
"76804","Nidovirales","order"
"79205","unclassified dsDNA phages",
"83129","Skunavirus P008","species"
"83132","Lactococcus phage phivi","species"
"85154","Brussowvirus bvO1205","species"
"87786","Human endogenous retrovirus W","species"
"93678","TTV-like mini virus","species"
"99179","Bacteroides phage B40-8","species"
"110456","Teseptimavirus","genus"
"112023","Moineauvirus mv7201","species"
"112436","Celery mosaic virus","species"
"117574","unclassified Microviridae",
"120381","human papillomavirus 87",
"129724","human papillomavirus 82",
"130310","Human mastadenovirus D","species"
"134394","Lonomia obliqua multiple nucleopolyhedrovirus",
"139871","Lactobacillus prophage Lj771","species"
"140410","Peduovirus","genus"
"142786","Norovirus","genus"
"150080","Norovirus isolates",
"151340","Papillomaviridae","family"
"151341","Polyomaviridae","family"
"151536","Lactococcus phage bIL286","species"
"152561","Streptococcus phage DT2","species"
"152564","Streptococcus phage MD2","species"
"156614","environmental samples",
"172653","Ictalurivirus","genus"
"172667","Yersinia phage PY54","species"
"173087","Human papillomavirus types",
"180255","Iltovirus","genus"
"181083","Chlorovirus","genus"
"181086","Prymnesiovirus","genus"
"185880","unclassified Densovirinae",
"186532","Ceduovirus","genus"
"186534","Caulimoviridae","family"
"186616","environmental samples",
"186617","uncultured marine virus","species"
"186670","Pseudoviridae","family"
"186764","Fromanvirus","genus"
"186765","Lambdavirus","genus"
"186768","Mitovirus","genus"
"186789","Punavirus","genus"
"198110","Pseudomonas phage 201phi2-1","species"
"198110","Pseudomonas phage 201phi2-1",
"198310","Rubus yellow net virus","species"
"202910","Bubaline alphaherpesvirus 1","species"
"206037","Human endogenous retroviruses",
"206062","Lactococcus phage 5440","species"
"206102","Lactococcus phage 5447","species"
"207678","unclassified Parvovirinae",
"212453","Lactococcus phage jw32","species"
"213769","Skunavirus sv712","species"
"213770","Lactococcus phage bIL66","species"
"213774","Lactococcus lactis phage P475",
"213775","Lactococcus virus jj50","species"
"213782","Lactococcus phage fd13",
"213888","Dahlia mosaic virus","species"
"223347","Tomato leaf curl New Delhi virus","species"
"227307","Gyrovirus","genus"
"228897","Sida micrantha mosaic virus","species"
"235201","Coetzeevirus JL1","species"
"239364","uncultured human fecal virus","species"
"251749","Phaeocystis globosa virus","species"
"254252","Lactococcus virus P2","species"
"270182","Lactococcus lactis phage 645","species"
"278008","uncultured phage","species"
"283494","Geminialphasatellitinae","subfamily"
"287412","Skunavirus Sl4","species"
"287434","Lactococcus phage Q39","species"
"287438","Lactococcus phage 1727","species"
"287439","Lactococcus phage Q37","species"
"297254","Cequinquevirus LLKu","species"
"298338","Salchichonvirus LP65","species"
"306323","Brussowvirus bv2972","species"
"314021","Lactococcus phage TP712","species"
"315393","Mimivirus","genus"
"325348","unclassified Badnavirus",
"325455","Gammapapillomavirus","genus"
"326484","Norovirus Hu/Kolkata/V1370",
"327045","Orthoretrovirinae","subfamily"
"328670","Banana streak GF virus",
"329156","unclassified Ceduovirus",
"333750","Alphapapillomavirus","genus"
"333754","Alphapapillomavirus 10","species"
"333760","Human papillomavirus type 16",
"333766","Alphapapillomavirus 13","species"
"333767","Alphapapillomavirus 3","species"
"333769","Human papillomavirus type 90",
"333774","unclassified Papillomaviridae",
"333922","Betapapillomavirus","genus"
"333924","Betapapillomavirus 2","species"
"335795","unclassified Lambdavirus",
"337041","Alphapapillomavirus 9","species"
"337042","Alphapapillomavirus 7","species"
"337044","Alphapapillomavirus 5","species"
"337048","Alphapapillomavirus 1","species"
"337051","Betapapillomavirus 1","species"
"338099","unclassified Microvirus",
"338125","Enterobacteria phage WA10",
"338138","Enterobacteria phage NC6",
"338473","Dybvigvirus Av1","species"
"340016","uncultured virus","species"
"340907","Papiine alphaherpesvirus 2","species"
"343865","unclassified Mitovirus",
"345249","unclassified Circovirus",
"346674","unclassified Chlorovirus",
"354260","Lactococcus phage P335","species"
"358403","unclassified Prymnesiovirus",
"377622","unclassified Human adenovirus D",
"407392","Thermus phage phiYS40","species"
"431038","unclassified Ictalurivirus",
"442302","Porcine picobirnavirus","species"
"444859","Synechococcus phage S-SM1",
"447897","Mythimna unipuncta nucleopolyhedrovirus","species"
"455363","unclassified Phycodnaviridae",
"456491","unclassified Inoviridae",
"459845","Brussowvirus bv858","species"
"464095","Picornavirales","order"
"475178","Lactococcus phage 1706",
"493803","Merkel cell polyomavirus",
"494269","Skunavirus bibb29","species"
"502177","unclassified Sobemovirus",
"508419","Cequinquevirus c5","species"
"537874","Streptococcus phage PH15","species"
"547228","Bacillus phage PM1",
"548681","Herpesvirales","order"
"548682","Alloherpesviridae","family"
"549779","Mimiviridae","family"
"558016","Alphabaculovirus","genus"
"571950","Streptococcus phage phi-m46.1","species"
"585893","Picobirnaviridae","family"
"633135","Moineauvirus Abc2","species"
"641487","Lactococcus phage P087",
"642248","unclassified Circoviridae",
"646413","Streptococcus phage 5093","species"
"646413","Streptococcus phage 5093",
"663557","Backyardiganvirus peaches","species"
"665883","Skunavirus CB13","species"
"665884","Skunavirus CB14","species"
"665886","Skunavirus CB19","species"
"675074","unclassified Picornavirales",
"680114","Bixzunavirus","genus"
"682370","Brussowvirus ALQ132","species"
"686565","Gokushovirinae","subfamily"
"687329","Anelloviridae","family"
"687332","Betatorquevirus","genus"
"694002","Betacoronavirus","genus"
"694009","Severe acute respiratory syndrome-related coronavirus","species"
"694017","Torovirinae","subfamily"
"699370","Thermus phage TMA","species"
"735504","unclassified Gammapapillomavirus",
"743964","Bifidobacterium phage Bbif-1","species"
"745088","Leuconostoc phage 1-A4",
"749413","Deep-sea thermophilic phage D6E","species"
"764561","Brochothrix phage NF5","species"
"764562","Brochothrix phage BL3","species"
"765052","Human papillomavirus 120",
"857473","Spounavirinae","subfamily"
"857474","unclassified Spounavirinae",
"880565","Human adenovirus 56",
"881953","Lactococcus phage 949",
"889338","Salmonella phage PVPSE1",
"926696","environmental samples",
"926697","uncultured Microviridae","species"
"931244","Alphapapillomavirus 14","species"
"941058","Bacillus phage SP-10","species"
"942165","Pseudomonas phage phiIBB-PF7A",
"945225","Spinach curly top Arizona virus","species"
"947980","Lactobacillus phage LF1",
"985780","unclassified Mimiviridae",
"985782","Moumouvirus","species"
"1002273","Avian gyrovirus 2",
"1051631","Streptococcus phage YMC-2011","species"
"1051674","Erwinia phage vB_Eam-MM7",
"1051676","Erwinia phage vB_EamM-Y2",
"1074043","environmental samples",
"1074044","uncultured phage WW-nAnB","species"
"1084719","Donellivirus gee","species"
"1090134","Salmonella phage SPN3US",
"1094363","Human adenovirus 65",
"1100043","Apis mellifera filamentous virus","species"
"1105171","Bacteroides phage B124-14","species"
"1128131","Moumouvirus Monve",
"1129194","Xanthomonas phage vB_XveM_DIBBI",
"1133560","unclassified Bixzunavirus",
"1141135","Cronobacter phage vB_CsaM_GAP31",
"1141136","Cronobacter phage vB_CsaM_GAP32",
"1141137","Cronobacter phage vB_CsaP_GAP52","species"
"1150990","Enterobacter phage Enc34",
"1161906","Weissella phage phiYS61","species"
"1161930","Leuconostoc phage Lmd1",
"1162290","Cronobacter phage CR9",
"1162295","Cronobacter phage CR3",
"1165134","Skunavirus ASCC191","species"
"1165135","Skunavirus ASCC273","species"
"1165151","Skunavirus ASCC465","species"
"1165153","Lactococcus phage ASCC476",
"1173772","Salmonella phage FSL SP-107","species"
"1179664","Mythimna separata entomopoxvirus","species"
"1198136","Tevenvirinae","subfamily"
"1198140","Felixounavirus","genus"
"1198980","Pbunavirus","genus"
"1204538","Pseudomonas phage Phi-S1",
"1204540","Enterococcus phage EfaCPT1",
"1206110","Lactobacillus phage phiAQ113","species"
"1211417","uncultured crAssphage","species"
"1214906","unidentified virus","species"
"1229751","Lactococcus phage BM13",
"1229793","Propionibacterium phage ATCC29399B_T",
"1262513","Serratia phage phiMAM1",
"1262515","Leuconostoc phage LN03",
"1262516","Leuconostoc phage LN04",
"1262517","Leuconostoc phage phiLN12",
"1262518","Leuconostoc phage LN25",
"1262519","Leuconostoc phage LN34",
"1262522","Leuconostoc phage P793",
"1262524","Escherichia phage CLB_P1","species"
"1262533","Lactococcus phage 340",
"1262535","Lactococcus phage jm2",
"1262536","Lactococcus phage jm3",
"1262537","Lactococcus phage P680",
"1262538","Lactococcus phage phi7",
"1273714","Enterobacteria phage ID204 Moscow/ID",
"1279083","Pseudomonas phage PPpW-4",
"1289467","Lactococcus phage CaseusJM1",
"1293572","Mythimna separata entomopoxvirus 'L'",
"1298630","Becurtovirus","genus"
"1300324","Lactobacillus phage phiGb1","species"
"1307804","Escherichia phage Lw1",
"1327956","Escherichia phage JES2013",
"1340750","Escherichia phage JH2",
"1341019","Parvovirus NIH-CQV","species"
"1352230","Thermus phage phi OH2","species"
"1385657","unclassified Gokushovirinae",
"1385659","uncultured marine Microviridae","species"
"1391428","Escherichia phage 4MG",
"1392231","Streptococcus phage 20617","species"
"1395615","Parvo-like hybrid virus UC4",
"1399941","Lactobacillus phage phiJB","species"
"1399942","Lactobacillus phage phiLdb",
"1415145","Xylella phage Paz","species"
"1415148","Xylella phage Sano",
"1429767","Erwinia phage Ea9-2",
"1430441","Methanobacterium virus Drs3",
"1446490","Escherichia phage FFH2",
"1449896","Uncultured phage WW-nAnB strain 2","species"
"1450749","IAS virus","species"
"1455076","Citrobacter phage CR8",
"1458186","Alphasatellitidae","family"
"1462608","Pseudomonas phage KPP25",
"1474867","Aureococcus anophagefferens virus","species"
"1478972","Gokushovirinae environmental samples","species"
"1498011","Cronobacter phage vB_CsaP_Ss1","species"
"1499987","Prymnesium kappa virus","species"
"1500386","Staphylococcus phage 6ec",
"1500733","Lactobacillus phage Ld17",
"1500734","Lactobacillus phage Ld25A",
"1500735","Lactobacillus phage Ld3",
"1500814","Propionibacterium phage PHL095N00",
"1508676","Escherichia coli O157 typing phage 14","species"
"1513294","Nyamiviridae","family"
"1513295","Nyavirus","genus"
"1525174","Circovirus VS6600032","species"
"1527531","Escherichia phage HY02",
"1527692","Lactococcus phage phi145",
"1527693","Lactococcus phage phi15",
"1535289","unclassified Betatorquevirus",
"1536605","Leuconostoc phage Ln-9",
"1540090","Bacillus phage Mater",
"1552735","Lactobacillus phage Ldl1",
"1567012","Clostridium phage phiCT453A","species"
"1567025","Salmonella phage vB_SPuM_SP116",
"1567484","Lactobacillus phage LfeInf",
"1572712","Geobacillus virus E3","species"
"1604868","Acinetobacter phage RL-2015","species"
"1610834","Klebsiella phage vB_KpnP_SU503",
"1622115","Pseudomonas phage ZC03",
"1623283","Chivirus","genus"
"1623288","Liefievirus","genus"
"1623300","Coetzeevirus","genus"
"1623303","Brussowvirus","genus"
"1623304","Moineauvirus","genus"
"1623305","Skunavirus","genus"
"1636554","Lactococcus phage 936 group phage Phi.16",
"1636555","Lactococcus phage 936 group phage Phi10.5",
"1636558","Lactococcus phage 936 group phage Phi129","species"
"1636560","Lactococcus phage 936 group phage Phi155",
"1636562","Lactococcus phage 936 group phage Phi19","species"
"1636563","Lactococcus phage 936 group phage Phi19.2",
"1636565","Lactococcus phage 936 group phage Phi4","species"
"1636566","Lactococcus phage 936 group phage Phi4.2",
"1636567","Lactococcus phage 936 group phage Phi40",
"1636568","Lactococcus phage 936 group phage Phi43",
"1636572","Lactococcus phage 936 group phage PhiA1127","species"
"1636573","Lactococcus phage 936 group phage PhiB1127",
"1636574","Lactococcus phage 936 group phage PhiC0139",
"1636575","Lactococcus phage 936 group phage PhiD.18",
"1636576","Lactococcus phage 936 group phage PhiE1127",
"1636577","Lactococcus phage 936 group phage PhiF.17",
"1636578","Lactococcus phage 936 group phage PhiF0139",
"1636579","Lactococcus phage 936 group phage PhiG","species"
"1636580","Lactococcus phage 936 group phage PhiJF1",
"1636582","Lactococcus phage 936 group phage PhiL.6",
"1636583","Lactococcus phage 936 group phage PhiLj",
"1636584","Lactococcus phage 936 group phage PhiM.16","species"
"1636585","Lactococcus phage 936 group phage PhiM.5",
"1636587","Lactococcus phage 936 group phage PhiS0139",
"1636724","Lactococcus phage 936 group phage PhiA.16",
"1640978","Fusobacterium phage Funu2","species"
"1651200","Enterobacteria phage KhF3","species"
"1651201","Enterobacteria phage XTG1","species"
"1651203","Enterobacteria phage KhF1","species"
"1654780","Propionibacterium phage Enoki","species"
"1654782","Propionibacterium phage QueenBey","species"
"1655314","Escherichia phage APECc02",
"1655644","Parabacteroides phage YZ-2015a","species"
"1655645","Parabacteroides phage YZ-2015b","species"
"1671798","Human papillomavirus type 54",
"1680129","unclassified Picobirnaviridae",
"1684115","Cronobacter phage PBES 02",
"1690818","Streptomyces phage SF3","species"
"1701257","Enterobacter phage phiEap-2","species"
"1701259","Streptococcus phage phiNJ3","species"
"1714273","Thermus virus IN93",
"1718279","Streptococcus phage 73","species"
"1719140","Klebsiella phage vB_KpnM_KB57",
"1729937","Pseudomonas phage VCM",
"1732176","Hydrogenobaculum phage 1","species"
"1737587","environmental samples",
"1737588","Megaviridae environmental sample","species"
"1752027","Pseudomonas phage phiR18",
"1758150","Gokushovirus WZ-2015a","species"
"1785176","Shigella phage SFN6B",
"1805456","Enterobacteria phage SEGD1",
"1805492","Pyrobaculum filamentous virus 1",
"1810938","Rhodococcus phage ReqiCHN","species"
"1814960","Streptococcus virus 9874","species"
"1815582","Pseudomonas phage phiPMW",
"1820160","Human feces pecovirus","species"
"1837216","unclassified Torovirus",
"1852562","Pseudomonas phage VSW-3",
"1852640","Serratia phage vB-Sru-IME250",
"1852642","Erwinia phage vB_EamP_Rexella",
"1857100","Salmonella phage BPS15Q2",
"1857844","Pecentumvirus","genus"
"1857889","Silviavirus","genus"
"1862332","Silurid herpesvirus 1","species"
"1862958","Lactococcus phage D4410",
"1862959","Lactococcus phage D4412",
"1862961","Lactococcus phage M6162","species"
"1862962","Lactococcus phage M6165","species"
"1862963","Lactococcus phage M6202","species"
"1868846","Lactococcus phage 38502","species"
"1868847","Lactococcus phage 49801","species"
"1868848","Lactococcus phage 50902",
"1868851","Lactococcus phage 58502","species"
"1868856","Lactococcus phage 98103","species"
"1868857","Lactococcus phage 98104","species"
"1868861","Lactococcus phage C41431","species"
"1871687","Lactococcus phage 63301","species"
"1871692","Enterococcus phage SANTOR1",
"1871716","Klebsiella phage KNP2",
"1873452","Rhodovulum phage vB_RhkS_P1","species"
"1873949","Pseudomonas phage Andromeda",
"1874333","Clostridium phage HM2","species"
"1874571","Lactococcus phage 11W16L",
"1874583","Lactococcus phage 8R06S","species"
"1874584","Lactococcus phage MW18S",
"1874585","Lactococcus phage 10W18",
"1874590","Lactococcus phage 4R15L","species"
"1874593","Lactococcus phage i0139",
"1874594","Lactococcus phage 19W07F","species"
"1883374","Erwinia phage vB_EamM_Kwan",
"1891713","Alphapolyomavirus","genus"
"1891726","Alphapolyomavirus quintihominis","species"
"1892568","unclassified Tevenvirinae",
"1897539","Leuconostoc phage LDG",
"1907784","Klebsiella phage vB_KpnM_BIS47",
"1907787","Picobirnavirus sp.","species"
"1909349","unclassified Pseudoviridae",
"1909350","Penicillium camemberti virus - GP1","species"
"1910950","Bullavirinae","subfamily"
"1910952","Gequatrovirus","genus"
"1910954","Sinsheimervirus","genus"
"1910969","Gequatrovirus talmos","species"
"1910976","Guernseyvirinae","subfamily"
"1910993","Cornellvirus","genus"
"1911928","Vequintavirinae","subfamily"
"1912760","Cequinquevirus","genus"
"1913081","Streptococcus phage CHPC577","species"
"1913082","Streptococcus phage CHPC926","species"
"1913083","Streptococcus phage CHPC1151","species"
"1913650","Karamvirus","genus"
"1914850","Certrevirus","genus"
"1914851","Seunavirus","genus"
"1914852","Vequintavirus","genus"
"1914853","Vequintavirus V5","species"
"1914854","Vequintavirus JES2013","species"
"1914855","Vequintavirus FV3","species"
"1914856","Vequintavirus FFH2","species"
"1914894","Seunavirus 4MG","species"
"1914895","Seunavirus GAP31","species"
"1914897","Certrevirus CR3","species"
"1914899","Certrevirus CR9","species"
"1915205","Obolenskvirus","genus"
"1916167","Streptococcus phage IPP27","species"
"1917232","Only Syngen Nebraska virus 5","species"
"1917990","Bequatrovirus","genus"
"1918008","Bequatrovirus spock","species"
"1918010","Bastillevirus","genus"
"1920762","Litunavirus","genus"
"1920774","Drulisvirus","genus"
"1920778","Drulisvirus SU503","species"
"1920860","Webervirus","genus"
"1921016","Nitunavirus","genus"
"1921407","Pakpunavirus","genus"
"1922243","Sextaecvirus","genus"
"1922246","Sextaecvirus sextaec","species"
"1926504","Poophage MBI-2016a","species"
"1926594","Enterococcus phage EFP01",
"1930509","Husavirus sp.","species"
"1932881","Pacmanvirus A23","species"
"1933110","Escherichia phage vB_EcoP_F",
"1954248","Circoviridae sp.","species"
"1955153","Picornavirales sp.","species"
"1955170","Partitiviridae sp.","species"
"1955172","Totiviridae sp.","species"
"1955560","Phage DP-2017a","species"
"1955786","Vesanto virus","species"
"1956188","Saudi moumouvirus",
"1958916","Pectobacterium phage vB_PatM_CB7","species"
"1962672","Streptococcus virus MS1","species"
"1965379","Felixounavirus JH2","species"
"1965384","Kolesnikvirus Ea214","species"
"1965475","Lactococcus phage AM7",
"1965482","Lactococcus phage LW81",
"1965535","Corynebacterium phage IME1320_01","species"
"1971410","Streptococcus phage P0091",
"1971410","Streptococcus phage P0091","species"
"1971411","Streptococcus phage P0092","species"
"1971414","Streptococcus phage P0095","species"
"1971415","Streptococcus phage P3681","species"
"1971416","Streptococcus phage P3684","species"
"1971417","Streptococcus phage P4761",
"1971418","Streptococcus phage P5641","species"
"1971420","Streptococcus phage P5652","species"
"1971421","Streptococcus phage P7132","species"
"1971421","Streptococcus phage P7132",
"1971424","Streptococcus phage P7151","species"
"1971429","Streptococcus phage P7573","species"
"1971431","Streptococcus phage P7601","species"
"1971431","Streptococcus phage P7601",
"1971435","Streptococcus phage P7633","species"
"1971444","Streptococcus phage P9852",
"1971445","Streptococcus phage P9853","species"
"1971446","Streptococcus phage P9854","species"
"1971447","Streptococcus phage P9901","species"
"1971449","Streptococcus phage P9903","species"
"1977402","Inovirus M13","species"
"1977630","Klosneuvirinae","subfamily"
"1977636","Hokovirus","genus"
"1977638","Hokovirus HKV1","species"
"1977639","Klosneuvirus","genus"
"1977640","Klosneuvirus KNV1","species"
"1977995","Phage apr34_1784","species"
"1977996","Phage apr34_1789","species"
"1977998","Phage FAKO05_000032F","species"
"1977999","Phage FAKO27_000238F","species"
"1978000","Phage FAKO27_000271F","species"
"1978001","Phage YS1-2_2434","species"
"1978007","Crassvirales","order"
"1978008","CrAssphage apr34_000142F","species"
"1978009","CrAssphage ES_ALL_000190F","species"
"1978010","CrAssphage FA1-2_000172F","species"
"1978011","CrAssphage GF1-2_000079F","species"
"1978012","CrAssphage YS1-2_2437","species"
"1980419","Tospoviridae","family"
"1980928","Sepunavirus","genus"
"1980929","Seoulvirus","genus"
"1980960","Certrevirus PBES02","species"
"1981020","Cequinquevirus Ldb","species"
"1981022","Cequinquevirus Ld3","species"
"1981023","Cequinquevirus Ld17","species"
"1981024","Cequinquevirus Ld25A","species"
"1982076","Korravirus","genus"
"1982106","Demosthenesvirus","genus"
"1982108","Demosthenesvirus katyusha","species"
"1982150","Gilesvirus","genus"
"1982151","Gilesvirus giles","species"
"1982251","Pahexavirus","genus"
"1982253","Pahexavirus ATCC29399BT","species"
"1982283","Pahexavirus PHL095N00","species"
"1982287","Pahexavirus PHL114L00","species"
"1982355","Pamexvirus","genus"
"1982576","Johnsonvirus","genus"
"1982577","Johnsonvirus Ea92","species"
"1982578","Johnsonvirus frozen","species"
"1982590","Kochitakasuvirus","genus"
"1982591","Kochitakasuvirus KPP25","species"
"1982592","Kochitakasuvirus R18","species"
"1983557","Pseudomonas phage PspYZU08",
"1984796","Seoulvirus SPN3US","species"
"1985285","Ounavirinae","subfamily"
"1985292","Suspvirus","genus"
"1985293","Kolesnikvirus","genus"
"1985303","Mooglevirus","genus"
"1985306","unclassified Mooglevirus",
"1985307","Kolesnikvirus M7","species"
"1985308","Felixounavirus HY02","species"
"1985309","Felixounavirus TP1","species"
"1985733","Pradovirus","genus"
"1986030","Human gokushovirus","species"
"1986031","Human gut gokushovirus","species"
"1986032","Human gut microviridae SH-CHD12","species"
"1986034","Gequatrovirus G4","species"
"2006668","Pseudomonas phage Phabio","species"
"2006928","Streptococcus phage D4276","species"
"2006938","Erysipelothrix phage phi1605","species"
"2015844","Mycobacterium phage Finemlucis",
"2017080","Human fecal virus Tarto","species"
"2017081","Human fecal virus Jorvi2","species"
"2017756","Alphairidovirinae","subfamily"
"2022321","Prunus geminivirus A",
"2022738","Tristromaviridae","family"
"2022739","Alphatristromavirus","genus"
"2023203","Pithoviridae","family"
"2024011","Lactococcus phage vB_Llc_bIBBF14",
"2024334","Lactococcus phage 05802",
"2024335","Lactococcus phage 37203",
"2024336","Lactococcus phage 50102",
"2024337","Lactococcus phage 50504",
"2024338","Lactococcus phage 62402",
"2024339","Lactococcus phage 62403",
"2024340","Lactococcus phage 62606",
"2024608","Bodo saltans virus",
"2024608","Bodo saltans virus","species"
"2026814","Lactococcus phage LP8511",
"2027251","Lactococcus phage LP9210",
"2027256","Lactococcus phage LP9609",
"2027257","Lactococcus phage LP9701",
"2027260","Lactococcus phage LP9908",
"2027262","Lactococcus phage LP0004b","species"
"2027267","Lactococcus phage LP0209",
"2027272","Lactococcus phage LP0903",
"2027276","Lactococcus phage LP1407",
"2029658","Lactococcus phage 05601",
"2029659","Lactococcus phage 16802",
"2029660","Lactococcus phage 30804",
"2029661","Lactococcus phage 37201",
"2029662","Lactococcus phage 38503",
"2029663","Lactococcus phage 38507",
"2029664","Lactococcus phage 51701",
"2029665","Lactococcus phage 56003",
"2029666","Lactococcus phage 56301",
"2029667","Lactococcus phage 57001",
"2029668","Lactococcus phage 62601",
"2029669","Lactococcus phage 62605",
"2029670","Lactococcus phage 63302",
"2029671","Lactococcus phage 66901",
"2029672","Lactococcus phage 79201",
"2029673","Lactococcus phage 88605",
"2029674","Lactococcus phage 96401",
"2029675","Lactococcus phage 96403",
"2029676","Lactococcus phage 96603",
"2034995","Grablovirus","genus"
"2036055","Lactobacillus phage T25",
"2041210","Lactobacillus phage LpeD",
"2041211","Klebsiella phage vB_KpnS_IME279",
"2041212","Klebsiella phage vB_KpnM_KpV79",
"2041350","Pseudomonas phage PPSC2","species"
"2041491","Pectobacterium phage DU_PP_IV","species"
"2041501","Streptococcus phage B0","species"
"2041505","Streptococcus phage M19","species"
"2041506","Streptococcus phage MM25","species"
"2041507","Streptococcus phage R1","species"
"2041760","Escherichia phage IMM-002",
"2047786","Klebsiella phage 1611E-K2-1","species"
"2047787","unclassified Tectiviridae",
"2048517","Lactobacillus phage Lb",
"2048879","Tomato leaf curl Virudhunagar alphasatellite","species"
"2048978","Pseudomonas phage tabernarius",
"2048980","Pseudomonas phage ventosus","species"
"2049444","Gammapapillomavirus sp.","species"
"2050979","unclassified Skunavirus",
"2053078","Pectinobacterium phage PEAT2",
"2053698","unclassified Ounavirinae",
"2053702","Raoultella phage Ro1",
"2053705","Lactococcus phage vB_Llc_bIBB5g1",
"2053706","Lactococcus phage vB_Llc_bIBB77s",
"2053707","Lactococcus phage vB_Llc_bIBBEg1",
"2053708","Lactococcus phage vB_Llc_bIBBF12",
"2056127","Pseudomonas phage HU1","species"
"2059381","Siphovirus 29632","species"
"2059850","Lactobacillus phage Lpa804",
"2059855","Pseudomonas phage PMBT14",
"2060084","Pandoravirus","genus"
"2069608","Streptococcus phage vB_SthS_VA214","species"
"2069609","Streptococcus phage vB_SthS_VA460","species"
"2069610","Streptococcus phage vB_SthS_VA698","species"
"2070027","Ralstonia phage RsoM2USA","species"
"2070181","Faecalibacterium phage FP_Brigit",
"2070182","Faecalibacterium phage FP_Epona",
"2070183","Faecalibacterium phage FP_Lagaffe",
"2070184","Faecalibacterium phage FP_Lugh",
